,noun,cnt
888,오일장,125
1015,타임,125
532,드라이브,125
1765,김치,125
1308,가파도,124
2148,평소,124
1373,사서,124
2929,아마,124
1821,도움,123
222,대기,123
325,수기,123
1963,케이크,123
251,부담,123
1836,대신,123
1079,목적,123
4264,할머니,122
32,이면,122
2188,관람,122
153,두번째,122
2375,행복,122
1001,취향,122
2500,여기저기,121
4268,이전,121
1683,도보,121
680,건조기,120
1607,대표,120
880,테마,120
267,다리,120
2023,세상,119
1213,머리,119
566,종일,119
585,목포,119
324,조건,119
1106,작업,119
2841,외부,118
2086,배달,118
1027,가도,118
874,화장,117
1902,뚜벅,117
1026,여행지,117
519,잔디,117
953,일기,117
263,중이,117
1900,금능,116
2895,전시,116
35,장난감,116
2480,골프,116
742,작성,116
2670,제법,116
1852,그동안,115
25,정신,115
669,침구,115
1947,다행,114
118,다가,114
479,도구,114
3545,해물,114
88,얼른,114
40,낮잠,114
299,비교,113
308,내용,113
2471,맑은,113
791,목표,113
1601,카메라,113
347,난방,113
2859,다그,112
198,땅콩,112
966,완주,112
2905,마감,112
1585,현재,112
1543,자동차,112
1992,가방,112
1981,거나,112
1218,이불,112
3084,노래,112
310,점점,111
1855,배경,111
1126,커플,111
176,인사,111
1382,관심,111
471,전자레인지,111
1567,불어,111
451,타입,111
1727,여행자,111
1260,인원,110
142,협재해수욕장,110
27,모양,110
2568,제품,110
2419,보아,110
1011,정식,109
2545,서로,109
1495,신랑,109
790,만족,109
1178,미니,109
740,패스,109
2982,안녕,109
2424,고등,108
1876,은근,108
1316,쓰레기,108
2494,수국,108
1089,사항,108
725,학교,107
870,공기,107
2850,얼굴,107
2858,메인,107
141,웨이,107
665,외관,107
1152,조림,107
639,놀이,107
965,아무,107
714,며칠,107
1974,부산,107
713,에어비앤비,107
16,다정,107
743,차이,106
1103,티켓,106
1007,위주,106
3183,마침,105
634,초록,105
2425,어회,105
807,고려,105
5570,떡볶이,104
477,식기,104
1094,구성,104
1416,대형,104
401,도시,103
1443,가든,103
554,컨디션,103
3429,신청,103
4244,소스,102
1799,인지,102
3167,치기,102
541,세탁,102
738,인터넷,102
962,막상,102
645,공용,102
1959,카드,102
1135,분리,101
3180,섭지코지,101
1706,박스,101
607,영화,101
341,완료,101
580,스팟,100
307,관련,100
1993,렌트카,100
2107,고사리,100
