index,name,score
1,pension0,1.8728347828127363
2,pension1,1.2846975024969638
3,pension2,2.030124320469113
4,pension3,1.8259612299533976
5,pension4,2.345275746925578
6,pension5,1.8007585723569326
7,pension6,1.3756731299050826
8,pension7,1.6014666782014464
9,pension8,2.3624491922754287
10,pension9,2.549652312020145
11,pension10,2.6959903420449947
12,pension11,1.915991309309101
13,pension12,1.7978570475713582
14,pension13,1.3738436288662415
15,pension14,2.958557614178719
16,pension15,2.0675022806186343
17,pension16,1.6052236340146446
18,pension17,3.660045328592627
19,pension18,1.8728347828127363
20,pension19,3.5900502927427485
21,pension20,1.397879350508885
22,pension21,3.6359367750666585
23,pension22,2.330707618074922
24,pension23,1.8728347828127363
25,pension24,3.647965269316242
26,pension25,2.8785301034669337
27,pension26,2.249351647118661
28,pension27,3.1304633270506352
29,pension28,1.8728347828127363
30,pension29,1.5823370123868303
31,pension30,2.773212373713671
32,pension31,2.5155442493593902
33,pension32,2.419920651606557
34,pension33,2.53587053819594
35,pension34,3.795817307319972
36,pension35,2.638601163362821
37,pension36,3.131383454375568
38,pension37,3.6926019525504947
39,pension38,2.757470879488669
40,pension39,1.8728347828127363
41,pension40,2.269086504390183
42,pension41,2.674802311007924
43,pension42,3.7656517985117928
44,pension43,3.8612466958031844
45,pension44,3.6265299363856944
46,pension45,3.6464392797973675
47,pension46,3.5048147614998073
48,pension47,2.6313588902195937
49,pension48,1.941478690611814
50,pension49,2.338532459425998
51,pension50,2.6083117499446593
52,pension51,2.114255445089101
53,pension52,1.941478690611814
54,pension53,2.233552576163585
55,pension54,1.8728347828127363
56,pension55,3.1257521149679333
57,pension56,2.09116159455053
58,pension57,3.5494439213495315
59,pension58,1.6748457422030683
60,pension59,3.763266432777884
61,pension60,2.115344784940446
62,pension61,3.943270016146595
63,pension62,1.9445002335475468
64,pension63,2.4522823495007326
65,pension64,2.6547958550041386
66,pension65,1.9114425396175625
67,pension66,2.178940598724839
68,pension67,1.8728347828127363
69,pension68,1.2746246922716715
70,pension69,3.0674258580165463
71,pension70,1.930902699347217
72,pension71,2.1289728872665172
73,pension72,2.3293095361839327
74,pension73,2.164411854514442
75,pension74,3.156397632972528
76,pension75,2.2270149022124808
77,pension76,3.115571103343239
78,pension77,2.213090979285163
79,pension78,3.588844059411894
80,pension79,1.6731758941049935
81,pension80,1.8728347828127363
82,pension81,1.7914978068782694
83,pension82,2.4480022666819123
84,pension83,2.1626984051533777
85,pension84,2.0558169729466993
86,pension85,3.5040848531124764
87,pension86,2.8605521305648898
88,pension87,3.3934497037346607
89,pension88,3.845988803339288
90,pension89,3.7965974742185478
91,pension90,1.6025404648670112
92,pension91,2.3706107257308036
93,type,0.1007
