id,name,addr,lat,lng,dong,detailtype
1804,도도펫,제주특별자치도 제주시 우령8길 63-16,33.4853520427203,126.428231371499,외도일동,60
1805,도두동 무지개 해안도로,제주특별자치도 제주시 도두1동,33.5010079784134,126.474247107518,도두일동,60
1806,도두봉,제주특별자치도 제주시 도두동 산 1,33.5085344192839,126.469041395771,도두일동,60
1807,도을,제주특별자치도 제주시 조천읍 남조로 2343,33.473557695312,126.657125815614,조천읍 와흘리,60
1808,도치돌 알파카목장,제주특별자치도 제주시 애월읍 도치돌길 293,33.4099506881118,126.36573023443,애월읍 납읍리,60
1809,돈블링65,제주특별자치도 제주시 도리로 65 (이호일동),33.4997405369333,126.458775736508,이호일동,60
1810,돈파스타정원,제주특별자치도 제주시 애월읍 애월해안로 364,33.4727924178582,126.347444688528,애월읍 고내리,60
1811,돌담넘는고양이,제주특별자치도 제주시 구좌읍 해맞이해안로 2478,33.4859856462739,126.901797371158,구좌읍 종달리,60
1812,동거문이오름,제주특별자치도 제주시 구좌읍 종달리 산 70,33.4487790613853,126.805366371702,구좌읍 종달리,60
1813,동명정류장,제주특별자치도 제주시 한림읍 동명7길 26,33.3971391702685,126.266234171576,한림읍 동명리,60
1814,돼지굽는정원,제주특별자치도 제주시 한림읍 협재2길 8-7,33.391868133042,126.241082382776,한림읍 협재리,60
1815,두산봉(말미오름),제주특별자치도 서귀포시 성산읍 시흥리 2661,33.4769199799302,126.88726677294,성산읍 시흥리,60
1816,뒹굴개,제주특별자치도 제주시 삼무로 74,33.4895747440976,126.494465524794,연동,60
1817,드르쿰다인성산,제주특별자치도 서귀포시 성산읍 섭지코지로25번길 64,33.4445123990912,126.919085883511,성산읍 고성리,60
1818,디어마이프렌즈,제주특별자치도 제주시 한경면 청수로 14,33.3203974600045,126.245289195116,한경면 청수리,60
1819,디어펫,제주특별자치도 제주시 과원로 47,33.4765201655973,126.488322680484,연동,60
1820,따라비오름,제주특별자치도 서귀포시 표선면 가시리 산 62,33.3860381518026,126.750266535353,표선면 가시리,60
1821,라이프동물병원,제주특별자치도 제주시 노형3길 21-1,33.482647851591,126.476003479149,노형동,60
1822,라임오렌지빌,제주특별자치도 서귀포시 칠십리로 332,33.2461843537704,126.587236147367,토평동,60
1823,라임오렌지카페앤플라워,제주특별자치도 서귀포시 칠십리로 330,33.2464159215517,126.587108977194,토평동,60
1824,라트반,제주특별자치도 제주시 구좌읍 해맞이해안로 1606,33.5290792435414,126.874764525432,구좌읍 하도리,60
1825,러블리독스,제주특별자치도 제주시 연북로 668,33.4923800450867,126.548293560355,이도이동,60
1826,레이지펌프,제주특별자치도 제주시 애월읍 애월북서길 32,33.466267134706,126.309553095967,애월읍 애월리,60
1827,레프트핸더 게스트하우스,제주특별자치도 제주시 구좌읍 상도북2길 17-12,33.5201877720308,126.864996397348,구좌읍 상도리,60
1828,로빙화,제주특별자치도 서귀포시 남원읍 남태해안로 13,33.2751185756874,126.709259627731,남원읍 남원리,60
1829,르카페하도,제주특별자치도 제주시 구좌읍 해맞이해안로 2030-8,33.5090742304835,126.899587749224,구좌읍 종달리,60
1830,리빙스톤펜션,제주특별자치도 서귀포시 법환로58번길 37,33.2418395753588,126.510201005436,법환동,60
1831,리치망고,제주특별자치도 제주시 애월읍 애월해안로 272,33.4685292780823,126.340190598564,애월읍 고내리,60
1832,리틀화이트,제주특별자치도 서귀포시 예래해안로 179-19,33.235995135856,126.383428152126,하예동,60
1833,마녀의언덕 펜션,제주특별자치도 서귀포시 예래해안로 207,33.2342025159359,126.38440814292,하예동,60
1834,마노르블랑,서귀포시 안덕면 일주서로2100번길 46,33.2548236387556,126.294986562216,안덕면 덕수리,60
1835,마레카펜션,제주특별자치도 제주시 한림읍 금능1길 26,33.3881274213932,126.224886757258,한림읍 금능리,60
1836,마음에온,제주특별자치도 제주시 칠성로길 29-1,33.5145793833966,126.525962848972,일도일동,60
1837,마이애미함독카페,제주특별자치도 제주시 조천읍 남조로 3069,33.5331406300706,126.642413657357,조천읍 조천리,60
1838,만복흑돼지,제주특별자치도 서귀포시 안덕면 산방로 55,33.2432505385043,126.326769108902,안덕면 화순리,60
1839,말이,제주특별자치도 제주시 구좌읍 세화1길 40,33.5266558354228,126.855552277946,구좌읍 세화리,60
1840,멍더랜드,제주특별자치도 제주시 월광로 147,33.4921394187444,126.473423730892,노형동,60
1841,멍멍플레이스,제주특별자치도 제주시 애월읍 소길남길 244-5,33.4162696284449,126.379461132594,애월읍 소길리,60
1842,메리앤폴,제주시 한림읍 일주서로 5872,33.443453163872,126.293516116751,한림읍 귀덕리,60
1843,메이즈랜드,제주특별자치도 제주시 구좌읍 비자림로 2134-47,33.4891471622224,126.801223039785,구좌읍 평대리,60
1844,명리동식당구좌직영점,제주특별자치도 제주시 구좌읍 일주동로 3010-17,33.5274794236088,126.843296849284,구좌읍 평대리,60
1845,명상가의집,제주특별자치도 제주시 조천읍 중산간동로 1513,33.4940920396572,126.716105430369,조천읍 선흘리,60
1846,명월국민학교,제주특별자치도 제주시 한림읍 명월로 48,33.3889031451126,126.264848690587,한림읍 명월리,60
1847,모몽더티하우스,제주특별자치도 제주시 한경면 신한로 10,33.3497613432456,126.184051499069,한경면 신창리,60
1848,목장카페 드르쿰다,제주특별자치도 서귀포시 표선면 번영로 2454,33.4087931689036,126.769865986572,표선면 성읍리,60
1849,몽story,제주특별자치도 제주시 애월읍 하귀9길 34,33.4840122612377,126.416045297733,애월읍 하귀1리,60
1850,몽몽까까,제주특별자치도 제주시 도남로 189,33.4856878459937,126.534473948203,아라일동,60
1851,무거버거,제주특별자치도 제주시 조천읍 조함해안로 356,33.5489812420561,126.655065539797,조천읍 신흥리,60
1852,문쏘,제주특별자치도 제주시 한림읍 한림상로 15-5,33.4056391497558,126.256597359664,한림읍 옹포리,60
1853,미스틱3도,제주특별자치도 제주시 1100로 2894-49 1층,33.4499956148829,126.487369517519,노형동,60
1854,바다를본돼지(판포점),제주특별자치도 제주시 한경면 판포1길 16,33.3656405352636,126.197922175273,한경면 판포리,60
1855,바다스케치,제주특별자치도 서귀포시 안덕면 사계남로216번길 52,33.2349227288106,126.309901022706,안덕면 사계리,60
1856,바산올레 애견동반 펜션,제주특별자치도 서귀포시 안덕면 대평로 29,33.2365991806145,126.363866962533,안덕면 창천리,60
1857,바우하우스,제주특별자치도 제주시 구좌읍 문주란로 111-7,33.5226195770527,126.892653898684,구좌읍 하도리,60
1858,방림원,제주특별자치도 제주시 한경면 용금로 864,33.3372284167289,126.268512900749,한경면 저지리,60
1859,배롱정원,제주특별자치도 제주시 한림읍 협재4길 19,33.3930475283878,126.241470241303,한림읍 협재리,60
