group,topic_0_rate,topic_0_key,topic_1_rate,topic_1_key,topic_2_rate,topic_2_key,topic_3_rate,topic_3_key,topic_4_rate,topic_4_key,topic_5_rate,topic_5_key,topic_6_rate,topic_6_key,topic_7_rate,topic_7_key,topic_8_rate,topic_8_key,topic_9_rate,topic_9_key
0,0.014,오름 , 0.012,코스 , 0.010,올레길 , 0.007,사람 , 0.005,숲길 , 0.005,한라산 , 0.005,풍경 , 0.005,올레 , 0.004,바다 , 0.004,입구
1,0.013,카페 , 0.011,바다 , 0.010,사람 , 0.007,하우스 , 0.005,해수욕장 , 0.005,함덕 , 0.004,커피 , 0.004,맛집 , 0.004,분위기 , 0.004,차량
2,0.008,바다 , 0.007,가족 , 0.007,위치 , 0.005,사람 , 0.005,거리 , 0.004,아기 , 0.004,시설 , 0.004,카페 , 0.004,애월 , 0.004,친구
3,0.015,맛집 , 0.011,카페 , 0.008,식당 , 0.008,사람 , 0.007,날씨 , 0.006,바다 , 0.006,돼지 , 0.005,김밥 , 0.005,친구 , 0.005,벚꽃
4,0.015,카페 , 0.012,바다 , 0.007,체험 , 0.007,우도 , 0.007,날씨 , 0.006,사람 , 0.005,구경 , 0.004,노을 , 0.004,공항 , 0.004,친구
