group,topic_0_rate,topic_0_key,topic_1_rate,topic_1_key,topic_2_rate,topic_2_key,topic_3_rate,topic_3_key,topic_4_rate,topic_4_key,topic_5_rate,topic_5_key,topic_6_rate,topic_6_key,topic_7_rate,topic_7_key,topic_8_rate,topic_8_key,topic_9_rate,topic_9_key
0,0.012,사람 , 0.007,바다 , 0.005,가족 , 0.005,서귀포 , 0.004,생활 , 0.004,친구 , 0.004,카페 , 0.003,경험 , 0.003,위치 , 0.003,고민
1,0.020,카페 , 0.015,바다 , 0.007,사람 , 0.006,맛집 , 0.006,날씨 , 0.006,체험 , 0.005,커피 , 0.005,해수욕장 , 0.004,해변 , 0.004,친구
2,0.013,벚꽃 , 0.009,사람 , 0.008,유채꽃 , 0.006,날씨 , 0.006,돌고래 , 0.005,바다 , 0.005,풍경 , 0.004,친구 , 0.004,카페 , 0.004,미술관
3,0.008,코스 , 0.007,올레길 , 0.007,바다 , 0.006,오름 , 0.006,위치 , 0.006,하우스 , 0.005,거리 , 0.004,풍경 , 0.004,우도 , 0.004,가족
4,0.011,맛집 , 0.008,사람 , 0.007,식당 , 0.005,오름 , 0.005,돼지 , 0.005,공항 , 0.005,카페 , 0.005,아기 , 0.005,김밥 , 0.004,비행기
