group,keyword
0,['사진']
1,"['바다', '카페']"
2,"['돼지', '맛집', '식당']"
3,"['가족', '거리', '걱정', '겨울', '공항', '구경', '기분', '날씨', '남편', '라면', '마을', '메뉴', '바람', '분위기', '사람', '산책', '생활', '서귀포', '식사', '아기', '애월', '오름', '올레길', '우도', '위치', '음식', '입구', '정리', '주변', '주차', '주차장', '체험', '친구', '커피', '코스', '테이블', '풍경', '하우스', '한라산', '해변', '힐링']"
4,"['함덕', '해수욕장']"
