"행정구역(시군구)별",2016,2017,2018,2019,2020,2021,2022
"행정구역(시군구)별",총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명)
"전국",51696216,51778544,51826059,51849861,51829023,51638809,51439038
"서울특별시",9930616,9857426,9765623,9729107,9668465,9509458,9428372
"종로구",152737,154770,153065,151290,149384,144683,141379
"중구",125249,125709,125725,126171,125240,122499,120437
"용산구",230241,229161,228999,228670,230040,222953,218650
"성동구",299259,304808,308221,300889,293556,285990,281000
"광진구",357215,357703,355559,351350,346682,339996,337416
"동대문구",355069,350647,348052,346194,342837,337400,336644
"중랑구",411005,408226,403209,397015,394702,387350,385318
"성북구",450355,444055,435868,442650,437153,430528,430397
"강북구",327195,324479,319164,313954,308055,299182,293660
"도봉구",348220,344166,339413,333362,325257,317366,311694
"노원구",567581,554403,543752,532905,523037,510956,503734
"은평구",491476,486794,483197,480032,479835,473307,466746
"서대문구",314194,312800,310313,309397,312173,304819,306337
"마포구",379892,374915,375077,374035,371890,368905,364638
"양천구",477739,471154,464185,458165,454251,447302,440881
"강서구",595485,601691,596949,591796,580185,574315,569166
"구로구",417551,410742,404497,406664,404408,396754,395315
"금천구",235386,235154,233917,232810,231733,230811,229642
"영등포구",370613,368550,367778,367678,379480,376837,375675
"동작구",400997,396217,396203,395963,391220,385483,380596
"관악구",506851,503297,501957,500094,495060,485699,486752
"서초구",447192,441102,433951,430826,425126,412279,404325
"강남구",567115,556164,542364,545169,539231,533042,529102
"송파구",657831,664496,666635,675961,667960,658338,658801
"강동구",444168,436223,427573,436067,459970,462664,460067
"부산광역시",3498529,3470653,3441453,3413841,3391946,3350380,3317812
"중구",45208,44218,42795,41910,41523,40524,39689
"서구",112973,110039,110534,108229,108135,105164,105192
"동구",89826,88868,86912,88165,88901,87679,86462
"영도구",126362,123521,120109,116711,113342,110638,108156
"부산진구",376526,371703,362357,357880,359886,353159,355917
"동래구",272745,270727,266515,271247,270745,266866,273226
"남구",278779,273854,279917,274480,267731,262069,256333
"북구",310202,302924,296952,291132,283952,283211,278857
"해운대구",419853,412039,409347,406102,402169,396438,386785
"사하구",334603,333301,327791,321004,311757,306003,301987
"금정구",244624,244469,242956,239062,232666,228049,221256
"강서구",108909,117382,122957,129566,137957,142918,143207
"연제구",207268,206742,207840,209395,209157,207144,203536
