name,score,reviewNum,price,link
서귀포 컬러인제주펜션,4.7,17.0,89000.0,/pension/10044573
서귀포 제주키즈가족바닷가하우스펜션,4.9,33.0,177100.0,/pension/10043412
서귀포 제주스마일펜션,4.9,9.0,,/pension/10052731
서귀포 돔그라미펜션,4.7,132.0,160000.0,/pension/1000111489
서귀포 스테이디앤디풀빌라,4.6,107.0,120000.0,/pension/10039529
제주 젠틀리조트펜션,4.0,57.0,49000.0,/pension/10039888
서귀포 미들도어펜션(리뷰이벤트 할인 진행중),5.0,18.0,,/pension/10048273
서귀포 르페도라펜션(피크닉세트무료),4.4,12.0,79000.0,/pension/10044292
제주 너우렁펜션,4.8,30.0,60000.0,/pension/10039978
"제주 호영팜스테이펜션(신축,복층)",4.9,13.0,125100.0,/pension/10045292
서귀포 가시리유채꽃길펜션,4.9,35.0,58500.0,/pension/10039904
제주 마커스마운틴펜션(신규오픈),4.8,29.0,,/pension/10043009
서귀포 하버39호텔앤리조트,4.6,19.0,40000.0,/pension/10040697
"제주 리버풀앤스파펜션(21년신축,협재해수욕장)",4.9,29.0,195250.0,/pension/10041181
서귀포 게우지코지펜션,5.0,13.0,82000.0,/pension/10044632
제주 쥬디스펜션(이호테우해변),4.8,350.0,169000.0,/pension/1000110972
제주 주월담펜션,5.0,15.0,220000.0,/pension/10047154
서귀포 꿈꾸는제주펜션,4.9,12.0,60000.0,/pension/10045724
제주 우도수평선스테이펜션,5.0,50.0,130000.0,/pension/10039977
제주 하늘키즈펜션,4.8,20.0,119000.0,/pension/10043415
제주 몽돌리조트(신축독채),4.7,32.0,,/pension/10040693
서귀포 바다의향기펜션,4.9,14.0,69000.0,/pension/10045726
제주 로그맨하우스펜션,4.8,191.0,55000.0,/pension/1000110457
제주 고파크펜션,4.4,52.0,59000.0,/pension/1000114401
제주 더하우스펜션,4.5,34.0,55000.0,/pension/10041128
제주 스테이제주작은별펜션,4.6,15.0,80000.0,/pension/10045600
제주 월정가옥펜션,4.7,41.0,120000.0,/pension/1000113721
제주 더제이드호텔(동문시장도보2분),4.7,250.0,161200.0,/pension/1000111515
제주 애월 씨앤스타펜션(신축펜션),4.7,154.0,,/pension/1000109860
서귀포 스테이아름삼달펜션,5.0,14.0,,/pension/10045913
제주 펀빌펜션(곽지해수욕장),4.8,96.0,79000.0,/pension/1000109441
제주 더갤러리모던펜션,4.7,14.0,125300.0,/pension/10043810
제주 퓨어스테이오션리조트,4.6,18.0,50000.0,/pension/10040778
"제주 파도소리펜션(자전거,낚시대 무료대여,해돋이명소)",4.8,8.0,75000.0,/pension/10054513
서귀포 바다마루펜션,5.0,19.0,70000.0,/pension/1000113422
"제주 애월의아침펜션(공항15분거리,단체)",4.7,47.0,170000.0,/pension/1000112670
제주 오름달펜션,5.0,4.0,,/pension/10048040
서귀포 소금막호스텔펜션,4.2,27.0,45000.0,/pension/10041945
제주 레드클레이펜션,4.9,38.0,55000.0,/pension/1000111577
제주 우도사랑펜션,5.0,42.0,140000.0,/pension/1000110861
서귀포 걷다보면윤노리낭펜션,5.0,11.0,180000.0,/pension/10047225
서귀포 타이스토리펜션,5.0,21.0,69000.0,/pension/1000113588
제주 꽃향기바다소리펜션(협재해변인근),5.0,12.0,,/pension/10043419
