,h17_merkey,pid,inhouse_num,relation,sex,birth,edu,edu_detail,disable_type,disable_degree,marriage,religion,live_together,industry,job,inc_regular,inc_temp,inc_owner,age,sex_factor,marriage2,religion_factor,inc,inc_log,h17_reg5,h17_reg7,region5,region7
13989,108251701.0,1082502.0,2.0,20.0,2.0,1956.0,5.0,5.0,0.0,0.0,1.0,1,1.0,,,,,,67,female,1.0,yes,,,2.0,4.0,광역시,대구/경북
13990,108261701.0,1082601.0,1.0,10.0,1.0,1972.0,5.0,5.0,0.0,0.0,5.0,0,1.0,41.0,782.0,,3348.0,,51,male,0.0,no,3348.0,8.116118431609365,2.0,4.0,광역시,대구/경북
13991,108261701.0,1082602.0,2.0,2.0,2.0,1941.0,3.0,5.0,0.0,0.0,2.0,1,1.0,,,,,,82,female,2.0,yes,,,2.0,4.0,광역시,대구/경북
13992,108271701.0,1082701.0,1.0,10.0,1.0,1972.0,6.0,5.0,0.0,0.0,1.0,1,2.0,62.0,223.0,,8770.0,,51,male,1.0,yes,8770.0,9.079092085366229,2.0,4.0,광역시,대구/경북
13993,108271701.0,1082702.0,2.0,20.0,2.0,1975.0,5.0,5.0,0.0,0.0,1.0,1,1.0,,,,,,48,female,1.0,yes,,,2.0,4.0,광역시,대구/경북
13994,108271701.0,1082703.0,3.0,11.0,2.0,2003.0,5.0,1.0,0.0,0.0,5.0,1,1.0,,,,,,20,female,0.0,yes,,,2.0,4.0,광역시,대구/경북
13995,108271701.0,1082704.0,4.0,12.0,1.0,2006.0,4.0,1.0,0.0,0.0,0.0,1,1.0,,,,,,17,male,,yes,,,2.0,4.0,광역시,대구/경북
13996,108281701.0,1082801.0,1.0,10.0,1.0,1955.0,7.0,5.0,0.0,0.0,1.0,0,1.0,75.0,942.0,,2280.0,,68,male,1.0,no,2280.0,7.731930721948486,2.0,4.0,광역시,대구/경북
13997,108281701.0,1082802.0,2.0,20.0,2.0,1955.0,5.0,5.0,0.0,0.0,1.0,0,1.0,,,,,,68,female,1.0,no,,,2.0,4.0,광역시,대구/경북
13998,108281701.0,1082803.0,3.0,11.0,1.0,1984.0,7.0,3.0,0.0,0.0,5.0,0,1.0,,,,400.0,,39,male,0.0,no,400.0,5.991464547107982,2.0,4.0,광역시,대구/경북
13999,108291701.0,1082901.0,1.0,10.0,2.0,1957.0,3.0,5.0,0.0,0.0,2.0,1,1.0,,,,,,66,female,2.0,yes,,,2.0,4.0,광역시,대구/경북
14000,108301701.0,1083001.0,1.0,10.0,1.0,1936.0,4.0,5.0,0.0,0.0,1.0,0,1.0,,,,,,87,male,1.0,no,,,2.0,4.0,광역시,대구/경북
14001,108301701.0,1083002.0,2.0,20.0,2.0,1947.0,3.0,5.0,1.0,2.0,1.0,0,1.0,,,,,,76,female,1.0,no,,,2.0,4.0,광역시,대구/경북
14002,108311701.0,1083101.0,1.0,10.0,2.0,1944.0,3.0,3.0,0.0,0.0,2.0,0,1.0,,,,,,79,female,2.0,no,,,2.0,4.0,광역시,대구/경북
14003,108321701.0,1083201.0,1.0,10.0,2.0,1938.0,2.0,0.0,0.0,0.0,3.0,0,1.0,,,,,,85,female,2.0,no,,,2.0,4.0,광역시,대구/경북
14004,108331701.0,1083301.0,1.0,10.0,1.0,1964.0,7.0,5.0,0.0,0.0,3.0,0,1.0,56.0,952.0,,2340.0,,59,male,2.0,no,2340.0,7.757906208351747,2.0,4.0,광역시,대구/경북
14005,108341701.0,1083401.0,1.0,10.0,2.0,1971.0,6.0,5.0,0.0,0.0,5.0,0,1.0,42.0,141.0,,,5280.0,52,female,0.0,no,5280.0,8.571681376700306,2.0,4.0,광역시,대구/경북
14006,108351701.0,1083501.0,1.0,10.0,1.0,1985.0,7.0,5.0,0.0,0.0,5.0,0,1.0,84.0,311.0,3577.0,,,38,male,0.0,no,3577.0,8.182279739259018,2.0,4.0,광역시,대구/경북
14007,108361701.0,1083601.0,1.0,10.0,2.0,1946.0,3.0,5.0,0.0,0.0,2.0,0,1.0,94.0,999.0,,324.0,,77,female,2.0,no,324.0,5.780743515792329,2.0,4.0,광역시,대구/경북
14008,108371701.0,1083701.0,1.0,10.0,1.0,1956.0,3.0,5.0,0.0,0.0,1.0,1,1.0,41.0,782.0,,3366.0,,67,male,1.0,yes,3366.0,8.121480374750751,2.0,4.0,광역시,대구/경북
14009,108371701.0,1083702.0,2.0,20.0,2.0,1957.0,4.0,3.0,0.0,0.0,1.0,1,1.0,,,,640.0,,66,female,1.0,yes,640.0,6.461468176353717,2.0,4.0,광역시,대구/경북
14010,108381701.0,1083801.0,1.0,10.0,2.0,1949.0,5.0,5.0,0.0,0.0,2.0,1,1.0,,,,,,74,female,2.0,yes,,,2.0,4.0,광역시,대구/경북
14011,108381701.0,1083802.0,2.0,11.0,1.0,1982.0,7.0,5.0,0.0,0.0,5.0,1,1.0,,,,,,41,male,0.0,yes,,,2.0,4.0,광역시,대구/경북
14012,108391701.0,1083901.0,1.0,10.0,1.0,1956.0,5.0,5.0,16.0,3.0,5.0,0,1.0,,,,352.0,,67,male,0.0,no,352.0,5.863631175598097,2.0,4.0,광역시,대구/경북
14013,108401701.0,1084001.0,1.0,10.0,1.0,1968.0,3.0,5.0,6.0,1.0,1.0,1,1.0,,,,,,55,male,1.0,yes,,,2.0,4.0,광역시,대구/경북
14014,108401701.0,1084002.0,2.0,20.0,2.0,1974.0,5.0,5.0,4.0,1.0,1.0,1,1.0,,,,,,49,female,1.0,yes,,,2.0,4.0,광역시,대구/경북
14015,108401701.0,1084003.0,3.0,11.0,2.0,2003.0,5.0,1.0,6.0,1.0,5.0,1,1.0,,,,,,20,female,0.0,yes,,,2.0,4.0,광역시,대구/경북
14016,108411701.0,1084101.0,1.0,10.0,1.0,1939.0,7.0,5.0,4.0,2.0,1.0,1,1.0,,,,,,84,male,1.0,yes,,,2.0,4.0,광역시,대구/경북
14017,108411701.0,1084102.0,2.0,20.0,2.0,1941.0,4.0,5.0,3.0,2.0,1.0,1,1.0,,,,,,82,female,1.0,yes,,,2.0,4.0,광역시,대구/경북
14018,108421701.0,1084201.0,1.0,10.0,2.0,1945.0,3.0,5.0,0.0,0.0,2.0,0,1.0,46.0,941.0,,120.0,,78,female,2.0,no,120.0,4.787491742782046,2.0,4.0,광역시,대구/경북
14019,108431701.0,1084301.0,1.0,10.0,2.0,1942.0,4.0,5.0,0.0,0.0,2.0,1,1.0,,,,,,81,female,2.0,yes,,,2.0,4.0,광역시,대구/경북
14020,108441701.0,1084401.0,1.0,10.0,2.0,1938.0,3.0,3.0,0.0,0.0,2.0,1,1.0,,,,,,85,female,2.0,yes,,,2.0,4.0,광역시,대구/경북
14021,108451701.0,1084501.0,1.0,10.0,1.0,1942.0,3.0,5.0,0.0,0.0,3.0,0,1.0,,,,,,81,male,2.0,no,,,2.0,4.0,광역시,대구/경북
14022,108461701.0,1084601.0,1.0,10.0,1.0,1940.0,3.0,5.0,1.0,2.0,1.0,1,1.0,,,,,,83,male,1.0,yes,,,2.0,4.0,광역시,대구/경북
14023,108461701.0,1084602.0,2.0,20.0,2.0,1945.0,3.0,5.0,0.0,0.0,1.0,1,1.0,,,,,,78,female,1.0,yes,,,2.0,4.0,광역시,대구/경북
14024,108471701.0,1084701.0,1.0,10.0,2.0,1935.0,5.0,3.0,3.0,1.0,2.0,1,1.0,,,,,,88,female,2.0,yes,,,2.0,4.0,광역시,대구/경북
14025,108481701.0,1084801.0,1.0,10.0,1.0,1933.0,5.0,5.0,0.0,0.0,1.0,1,1.0,,,,,,90,male,1.0,yes,,,2.0,4.0,광역시,대구/경북
14026,108481701.0,1084802.0,2.0,20.0,2.0,1941.0,5.0,5.0,4.0,2.0,1.0,1,1.0,,,,,,82,female,1.0,yes,,,2.0,4.0,광역시,대구/경북
14027,108491701.0,1084901.0,1.0,10.0,1.0,1960.0,7.0,5.0,0.0,0.0,1.0,1,1.0,10.0,753.0,3270.0,,,63,male,1.0,yes,3270.0,8.0925452638913,2.0,4.0,광역시,대구/경북
14028,108491701.0,1084902.0,2.0,20.0,2.0,1961.0,5.0,5.0,0.0,0.0,1.0,1,1.0,47.0,941.0,2318.0,,,62,female,1.0,yes,2318.0,7.748460023899697,2.0,4.0,광역시,대구/경북
14029,108491701.0,1084903.0,3.0,11.0,2.0,1990.0,7.0,5.0,0.0,0.0,5.0,1,1.0,30.0,312.0,3920.0,,,33,female,0.0,yes,3920.0,8.273846932784508,2.0,4.0,광역시,대구/경북
14030,108491701.0,1084904.0,4.0,13.0,1.0,1995.0,7.0,3.0,0.0,0.0,5.0,1,1.0,56.0,442.0,,3974.0,,28,male,0.0,yes,3974.0,8.287528423111763,2.0,4.0,광역시,대구/경북
14031,108501701.0,1085001.0,1.0,10.0,1.0,1953.0,5.0,5.0,0.0,0.0,1.0,1,1.0,,,,,,70,male,1.0,yes,,,2.0,4.0,광역시,대구/경북
14032,108501701.0,1085002.0,2.0,20.0,2.0,1955.0,5.0,5.0,0.0,0.0,1.0,1,1.0,,,,,,68,female,1.0,yes,,,2.0,4.0,광역시,대구/경북
14033,108511701.0,1085101.0,1.0,10.0,1.0,1957.0,5.0,5.0,0.0,0.0,1.0,0,1.0,29.0,841.0,,,1856.0,66,male,1.0,no,1856.0,7.526178913346146,2.0,4.0,광역시,대구/경북
14034,108511701.0,1085102.0,2.0,20.0,2.0,1962.0,5.0,5.0,0.0,0.0,1.0,0,1.0,,,,,,61,female,1.0,no,,,2.0,4.0,광역시,대구/경북
14035,108521701.0,1085201.0,1.0,10.0,1.0,1970.0,5.0,5.0,0.0,0.0,1.0,1,1.0,42.0,761.0,6000.0,,,53,male,1.0,yes,6000.0,8.699514748210191,2.0,4.0,광역시,대구/경북
14036,108521701.0,1085202.0,2.0,20.0,2.0,1970.0,6.0,5.0,0.0,0.0,1.0,1,1.0,,,,,,53,female,1.0,yes,,,2.0,4.0,광역시,대구/경북
