group,topic_0_rate,topic_0_key,topic_1_rate,topic_1_key,topic_2_rate,topic_2_key,topic_3_rate,topic_3_key,topic_4_rate,topic_4_key,topic_5_rate,topic_5_key,topic_6_rate,topic_6_key,topic_7_rate,topic_7_key,topic_8_rate,topic_8_key,topic_9_rate,topic_9_key
0,0.007,바다 , 0.007,위치 , 0.006,하우스 , 0.006,가족 , 0.005,올레길 , 0.005,거리 , 0.005,시설 , 0.004,사람 , 0.004,마당 , 0.004,서귀포
1,0.019,카페 , 0.010,사람 , 0.008,맛집 , 0.007,바다 , 0.005,커피 , 0.005,친구 , 0.005,식당 , 0.004,분위기 , 0.004,정리 , 0.004,메뉴
2,0.013,바다 , 0.013,오름 , 0.008,코스 , 0.007,체험 , 0.006,카페 , 0.006,사람 , 0.005,해변 , 0.005,날씨 , 0.005,아기 , 0.005,산책
3,0.008,아기 , 0.006,카페 , 0.006,애월 , 0.006,맛집 , 0.005,친구 , 0.005,시장 , 0.004,사람 , 0.004,서귀포 , 0.003,겨울 , 0.003,바람
4,0.011,사람 , 0.009,바다 , 0.008,카페 , 0.007,날씨 , 0.007,맛집 , 0.007,우도 , 0.005,해수욕장 , 0.005,바람 , 0.004,해변 , 0.004,풍경
