group,topic_0_rate,topic_0_key,topic_1_rate,topic_1_key,topic_2_rate,topic_2_key,topic_3_rate,topic_3_key,topic_4_rate,topic_4_key,topic_5_rate,topic_5_key,topic_6_rate,topic_6_key,topic_7_rate,topic_7_key,topic_8_rate,topic_8_key,topic_9_rate,topic_9_key
0,0.015,카페 , 0.008,사람 , 0.008,바다 , 0.007,체험 , 0.006,커피 , 0.005,날씨 , 0.005,아기 , 0.005,비행기 , 0.004,구경 , 0.004,물놀이
1,0.015,카페 , 0.011,맛집 , 0.010,바다 , 0.009,사람 , 0.006,식당 , 0.005,날씨 , 0.005,친구 , 0.005,메뉴 , 0.004,돼지 , 0.004,구경
2,0.010,사람 , 0.009,하우스 , 0.007,게스트 , 0.006,쉐어 , 0.006,바다 , 0.006,분위기 , 0.005,친구 , 0.004,카페 , 0.004,성산 , 0.004,요리
3,0.014,코스 , 0.011,오름 , 0.010,올레길 , 0.008,사람 , 0.007,바다 , 0.007,해변 , 0.006,우도 , 0.006,풍경 , 0.005,숲길 , 0.004,한라산
4,0.009,바다 , 0.008,위치 , 0.007,가족 , 0.005,하우스 , 0.005,시설 , 0.005,거리 , 0.005,서귀포 , 0.004,마당 , 0.004,생활 , 0.003,애월
